system,rep,term,average_kcal_per_mol,sd_prop,sd,sem_prop,sem,source_file,source_line
drugs3003,rep2,DELTA_1_4_EEL,-0.0,0.66,0.0,0.07,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖1-4 EEL                 -0.00          0.66       0.00         0.07       0.00
drugs3003,rep2,DELTA_EGB,163.66,6.03,41.62,0.6,4.14,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖EGB                    163.66          6.03      41.62         0.60       4.14
drugs3003,rep2,DELTA_ESURF,-4.46,0.08,0.47,0.01,0.05,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖ESURF                   -4.46          0.08       0.47         0.01       0.05
drugs3003,rep2,DELTA_GGAS,-178.05,7.13,42.33,0.71,4.21,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖GGAS                  -178.05          7.13      42.33         0.71       4.21
drugs3003,rep2,DELTA_GSOLV,159.2,6.03,41.61,0.6,4.14,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖GSOLV                  159.20          6.03      41.61         0.60       4.14
drugs3003,rep2,DELTA_TOTAL,-18.85,9.34,4.12,0.93,0.41,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖TOTAL                  -18.85          9.34       4.12         0.93       0.41
drugs3003,rep3,DELTA_VDWAALS,-26.57,1.85,4.13,0.18,0.41,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖VDWAALS                -26.57          1.85       4.13         0.18       0.41
drugs3003,rep3,DELTA_EEL,-253.78,2.51,34.29,0.25,3.41,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖EEL                   -253.78          2.51      34.29         0.25       3.41
drugs3003,rep3,DELTA_1_4_EEL,-0.0,0.54,0.0,0.05,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖1-4 EEL                 -0.00          0.54       0.00         0.05       0.00
drugs3003,rep3,DELTA_EGB,266.82,1.42,33.21,0.14,3.3,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖EGB                    266.82          1.42      33.21         0.14       3.30
drugs3003,rep3,DELTA_ESURF,-3.57,0.04,0.55,0.0,0.05,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖ESURF                   -3.57          0.04       0.55         0.00       0.05
drugs3003,rep3,DELTA_GGAS,-280.34,3.12,36.05,0.31,3.59,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖GGAS                  -280.34          3.12      36.05         0.31       3.59
drugs3003,rep3,DELTA_GSOLV,263.24,1.42,32.91,0.14,3.27,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖GSOLV                  263.24          1.42      32.91         0.14       3.27
drugs3003,rep3,DELTA_TOTAL,-17.1,3.43,4.55,0.34,0.45,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3003/rep3/FINAL_RESULTS_MMPBSA_GB.dat,螖TOTAL                  -17.10          3.43       4.55         0.34       0.45
drugs3523,rep1,DELTA_VDWAALS,-25.01,7.61,16.25,0.76,1.62,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖VDWAALS                -25.01          7.61      16.25         0.76       1.62
drugs3523,rep1,DELTA_EEL,34.83,4.77,19.97,0.48,1.99,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖EEL                     34.83          4.77      19.97         0.48       1.99
drugs3523,rep1,DELTA_1_4_EEL,0.0,1.08,0.0,0.11,0.0,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖1-4 EEL                  0.00          1.08       0.00         0.11       0.00
drugs3523,rep1,DELTA_EGB,-25.07,1.48,14.61,0.15,1.45,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖EGB                    -25.07          1.48      14.61         0.15       1.45
drugs3523,rep1,DELTA_ESURF,-2.93,1.05,1.89,0.1,0.19,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖ESURF                   -2.93          1.05       1.89         0.10       0.19
drugs3523,rep1,DELTA_GGAS,9.82,8.98,11.23,0.89,1.12,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖GGAS                     9.82          8.98      11.23         0.89       1.12
drugs3523,rep1,DELTA_GSOLV,-27.99,1.82,16.0,0.18,1.59,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖GSOLV                  -27.99          1.82      16.00         0.18       1.59
drugs3523,rep1,DELTA_TOTAL,-18.17,9.16,12.03,0.91,1.2,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep1/FINAL_RESULTS_MMPBSA_GB.dat,螖TOTAL                  -18.17          9.16      12.03         0.91       1.20
drugs3523,rep2,DELTA_VDWAALS,-36.74,5.03,13.13,0.5,1.31,<PROJECT_ROOT>/gmx_mmpbsa_50_100ns/drugs3523/rep2/FINAL_RESULTS_MMPBSA_GB.dat,螖VDWAALS                -36.74          5.03      13.13         0.50       1.31
