time_ps,mindist_nm
41610.0,0.1873902
41620.0,0.1873342
41630.0,0.1938893
41640.0,0.2011692
41650.0,0.1775983
41660.0,0.1883325
41670.0,0.201589
41680.0,0.2026546
41690.0,0.1586126
41700.0,0.2254524
41710.0,0.1975581
41720.0,0.179763
41730.0,0.1735104
41740.0,0.1830568
41750.0,0.1783254
41760.0,0.2014154
41770.0,0.2580759
41780.0,0.2122317
41790.0,0.1947741
41800.0,0.1876036
41810.0,0.1823186
41820.0,0.1974892
41830.0,0.1977974
41840.0,0.1824152
41850.0,0.1864219
41860.0,0.1965532
41870.0,0.2007037
41880.0,0.2237616
41890.0,0.1840251
41900.0,0.1966743
41910.0,0.1673463
41920.0,0.1878114
41930.0,0.2594418
41940.0,0.1972416
41950.0,0.2338504
41960.0,0.2355294
41970.0,0.2106393
41980.0,0.1845507
41990.0,0.1915279
42000.0,0.202751
42010.0,0.1860831
42020.0,0.2096116
42030.0,0.18191
42040.0,0.1801667
42050.0,0.1949237
42060.0,0.1824989
42070.0,0.2353148
42080.0,0.2178857
42090.0,0.2145826
42100.0,0.1766038
42110.0,0.1899735
42120.0,0.1907956
42130.0,0.2077452
42140.0,0.1905174
42150.0,0.1761474
42160.0,0.1866977
42170.0,0.1836817
42180.0,0.2343714
42190.0,0.1806906
42200.0,0.1780701
42210.0,0.186754
42220.0,0.1675614
42230.0,0.2007013
42240.0,0.2176442
42250.0,0.1788324
42260.0,0.1886002
42270.0,0.195023
42280.0,0.2038971
42290.0,0.1960134
42300.0,0.2090386
42310.0,0.2316075
42320.0,0.17814
42330.0,0.1920134
42340.0,0.1779437
42350.0,0.1992514
42360.0,0.1792931
42370.0,0.179176
42380.0,0.1930177
42390.0,0.1731684
42400.0,0.1871501
42410.0,0.1924445
42420.0,0.20332
42430.0,0.2242252
42440.0,0.2118259
42450.0,0.2411831
42460.0,0.1847404
42470.0,0.1987819
42480.0,0.2210117
42490.0,0.1750335
42500.0,0.2016084
42510.0,0.1912353
42520.0,0.1988022
42530.0,0.2234483
42540.0,0.2320538
42550.0,0.1906358
42560.0,0.1838808
42570.0,0.185057
42580.0,0.2335082
42590.0,0.1997653
42600.0,0.2306926
42610.0,0.2348238
42620.0,0.1818819
42630.0,0.1750946
42640.0,0.2633797
42650.0,0.2020149
42660.0,0.1736778
42670.0,0.1805487
42680.0,0.2211992
42690.0,0.2457393
42700.0,0.1989519
42710.0,0.2252067
42720.0,0.1874993
42730.0,0.2428194
42740.0,0.1930957
42750.0,0.1919712
42760.0,0.1895914
42770.0,0.2135111
42780.0,0.2033593
42790.0,0.219902
42800.0,0.1907036
42810.0,0.1946919
42820.0,0.2000826
42830.0,0.2142243
42840.0,0.1775752
42850.0,0.2026178
42860.0,0.2327594
42870.0,0.1959822
42880.0,0.1887801
42890.0,0.1802527
42900.0,0.2058084
42910.0,0.1862312
42920.0,0.1983559
