time_ps,rg_nm,rg_x_nm,rg_y_nm,rg_z_nm
2300.0,3.69854,2.8754,3.40978,2.73199
2310.0,3.66041,2.84868,3.3652,2.7125
2320.0,3.67916,2.85588,3.39079,2.72378
2330.0,3.7374,2.89537,3.44877,2.76751
2340.0,3.7751,2.92522,3.48514,2.79279
2350.0,3.78206,2.92716,3.49604,2.79596
2360.0,3.75212,2.90869,3.46172,2.77719
2370.0,3.79431,2.9373,3.50841,2.80302
2380.0,3.82218,2.96806,3.53232,2.81629
2390.0,3.81848,2.95754,3.53524,2.81365
2400.0,3.84044,2.96614,3.56329,2.82894
2410.0,3.83478,2.96322,3.55738,2.82407
2420.0,3.79804,2.94264,3.51711,2.79661
2430.0,3.80657,2.94669,3.5232,2.80786
2440.0,3.78715,2.93178,3.50619,2.79219
2450.0,3.77734,2.91715,3.49287,2.79763
2460.0,3.79528,2.93209,3.5161,2.80145
2470.0,3.78293,2.92235,3.50335,2.7942
2480.0,3.80795,2.94288,3.52972,2.8074
2490.0,3.80298,2.93952,3.52882,2.79856
2500.0,3.78717,2.92302,3.50997,2.79667
2510.0,3.73318,2.88695,3.45129,2.76177
2520.0,3.709,2.87447,3.42821,2.73829
2530.0,3.69337,2.86302,3.40309,2.73935
2540.0,3.69843,2.86643,3.41067,2.74001
2550.0,3.72713,2.8972,3.43719,2.75227
2560.0,3.68312,2.86097,3.39728,2.72106
2570.0,3.69107,2.8673,3.40549,2.72566
2580.0,3.62345,2.81301,3.34084,2.68038
2590.0,3.67892,2.85037,3.39586,2.72257
2600.0,3.65775,2.83181,3.37534,2.7104
2610.0,3.6629,2.83933,3.37988,2.71078
2620.0,3.66625,2.84508,3.3834,2.7094
2630.0,3.68396,2.86965,3.40245,2.7077
2640.0,3.72532,2.89785,3.44462,2.73736
2650.0,3.70673,2.88519,3.43193,2.71611
2660.0,3.71688,2.88884,3.43977,2.72999
2670.0,3.68573,2.86227,3.40706,2.7145
2680.0,3.69205,2.86366,3.41421,2.72123
2690.0,3.70587,2.87458,3.42801,2.72992
2700.0,3.68935,2.86468,3.40852,2.71998
2710.0,3.711,2.87198,3.43327,2.73997
2720.0,3.69394,2.86245,3.41469,2.72702
2730.0,3.68205,2.86037,3.40279,2.71187
2740.0,3.67893,2.86381,3.40089,2.70215
2750.0,3.64489,2.83857,3.36935,2.67591
2760.0,3.6103,2.81714,3.32937,2.65471
2770.0,3.61581,2.82087,3.33082,2.66393
2780.0,3.58988,2.80445,3.3022,2.64669
2790.0,3.55647,2.782,3.27136,2.61832
2800.0,3.60743,2.81923,3.32255,2.65324
2810.0,3.56639,2.78816,3.28257,2.62473
2820.0,3.56214,2.77565,3.28142,2.62788
2830.0,3.556,2.77777,3.26904,2.62443
2840.0,3.53948,2.75693,3.25539,2.61871
2850.0,3.60069,2.80811,3.3144,2.6569
2860.0,3.54849,2.76605,3.26363,2.62322
2870.0,3.58246,2.78663,3.29957,2.64869
2880.0,3.57284,2.77615,3.2822,2.6553
2890.0,3.5824,2.78897,3.28739,2.66119
2900.0,3.56407,2.7754,3.27292,2.64393
2910.0,3.62422,2.8177,3.33385,2.68626
2920.0,3.5978,2.79635,3.31157,2.66499
2930.0,3.56948,2.77556,3.28066,2.64877
2940.0,3.56669,2.76848,3.27929,2.65035
2950.0,3.53863,2.74527,3.24996,2.63536
2960.0,3.5753,2.77122,3.29506,2.65114
2970.0,3.58738,2.78345,3.30113,2.66337
2980.0,3.59725,2.78478,3.31514,2.67119
2990.0,3.597,2.78939,3.31135,2.67039
3000.0,3.57036,2.7744,3.2859,2.64584
3010.0,3.5809,2.78254,3.29068,2.6598
3020.0,3.56509,2.77183,3.27726,2.64504
3030.0,3.60842,2.80637,3.31619,2.6774
3040.0,3.58537,2.79275,3.2941,2.65692
3050.0,3.56318,2.77717,3.2734,2.63907
3060.0,3.62801,2.82287,3.34408,2.67834
3070.0,3.59663,2.80046,3.31348,2.65514
3080.0,3.60315,2.80606,3.31892,2.6601
3090.0,3.61576,2.81452,3.33668,2.66318
3100.0,3.66001,2.84901,3.3772,2.6961
3110.0,3.62509,2.82328,3.34311,2.67119
3120.0,3.58392,2.79082,3.29719,2.6512
3130.0,3.63755,2.82758,3.352,2.68932
3140.0,3.63184,2.82072,3.34491,2.68991
3150.0,3.57639,2.78573,3.2867,2.64925
3160.0,3.55841,2.77414,3.26354,2.6416
3170.0,3.61915,2.81705,3.33308,2.6742
3180.0,3.60741,2.80767,3.32207,2.66601
3190.0,3.6254,2.82968,3.33429,2.67629
3200.0,3.56877,2.7905,3.2733,2.64023
3210.0,3.60798,2.81938,3.3145,2.66463
3220.0,3.6038,2.81581,3.31148,2.66083
3230.0,3.63949,2.84166,3.35138,2.68048
3240.0,3.62384,2.8324,3.33705,2.66572
3250.0,3.58502,2.8021,3.29631,2.64336
3260.0,3.59279,2.80459,3.30582,2.64994
3270.0,3.57489,2.7908,3.28904,2.63692
3280.0,3.57843,2.79657,3.29525,2.63263
3290.0,3.57948,2.7975,3.29903,2.6298
3300.0,3.55982,2.78746,3.27879,2.61233
3310.0,3.58571,2.80407,3.30376,2.63381
3320.0,3.60368,2.81045,3.3259,2.64818
3330.0,3.60008,2.80845,3.31716,2.65147
3340.0,3.59758,2.81215,3.31372,2.64504
3350.0,3.60363,2.81512,3.32254,2.64727
3360.0,3.57616,2.78619,3.29891,2.6329
3370.0,3.59748,2.80468,3.32064,2.64402
3380.0,3.57831,2.78187,3.30214,2.63927
3390.0,3.58631,2.78323,3.31121,2.64817
3400.0,3.56666,2.78088,3.28339,2.63213
3410.0,3.54919,2.76824,3.26165,2.62527
3420.0,3.54734,2.76613,3.26334,2.62037
3430.0,3.55907,2.78431,3.26824,2.62683
3440.0,3.56499,2.78815,3.26903,2.6378
3450.0,3.56377,2.77804,3.26841,2.64593
3460.0,3.56423,2.77935,3.27394,2.63894
3470.0,3.55405,2.77466,3.25946,2.63433
3480.0,3.53792,2.76021,3.24652,2.62203
3490.0,3.56106,2.78557,3.26578,2.63393
