GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
21,19.73,55.92,35.71,-18.08,38.62,22.54,61.42,-153.49,4.44,215.88,-149.05,66.83
22,18.31,44.78,29.42,-15.01,41.36,20.99,59.86,-154.41,4.43,199.7,-149.98,49.71
23,18.08,47.3,33.45,-15.39,39.97,21.1,61.34,-156.18,4.4,205.85,-151.79,54.06
24,19.69,50.89,32.82,-17.83,40.43,21.04,58.42,-154.73,4.35,205.47,-150.39,55.09
25,19.17,55.01,33.74,-17.77,39.15,20.56,59.68,-153.72,4.39,209.53,-149.33,60.2
26,25.39,56.03,33.84,-17.22,41.17,17.44,59.87,-154.92,4.5,216.52,-150.42,66.1
27,19.57,59.8,30.48,-16.75,41.3,19.79,59.8,-156.03,4.46,213.98,-151.57,62.41
28,20.67,55.13,32.01,-13.41,39.85,20.79,61.2,-155.03,4.38,216.24,-150.64,65.6
29,20.61,47.5,31.97,-15.86,39.83,21.27,61.13,-153.66,4.37,206.45,-149.29,57.17
30,21.03,51.23,31.57,-16.68,39.25,22.22,60.28,-153.8,4.4,208.91,-149.41,59.5
31,15.12,45.77,36.06,-15.73,39.82,21.26,60.41,-153.33,4.4,202.71,-148.93,53.78
32,20.11,57.21,31.33,-16.08,39.15,22.38,60.81,-155.13,4.45,214.91,-150.68,64.23
33,16.02,50.01,30.52,-16.81,40.49,22.19,59.67,-155.09,4.39,202.09,-150.7,51.39
34,16.1,45.26,30.38,-15.17,41.39,22.41,60.35,-153.38,4.38,200.72,-148.99,51.73
35,27.04,46.45,26.81,-14.68,41.11,19.3,60.5,-154.59,4.42,206.52,-150.16,56.36
36,17.38,41.38,32.47,-16.17,39.81,21.35,60.97,-154.84,4.36,197.19,-150.48,46.71
37,23.45,48.97,32.83,-16.92,42.19,20.66,59.6,-157.33,4.47,210.77,-152.85,57.92
38,19.01,52.85,27.91,-16.49,41.16,19.72,60.38,-155.34,4.41,204.54,-150.93,53.61
39,16.87,40.17,30.81,-13.17,40.35,22.17,60.52,-155.34,4.38,197.72,-150.96,46.76
40,18.97,49.26,37.12,-18.23,40.25,21.69,60.39,-155.6,4.48,209.45,-151.12,58.33
41,18.19,49.87,39.5,-17.52,40.58,20.72,60.17,-155.71,4.39,211.5,-151.32,60.18
42,20.68,52.36,38.8,-16.91,40.23,21.38,60.03,-154.5,4.44,216.58,-150.06,66.52
43,19.09,45.94,33.84,-15.52,40.37,22.09,61.05,-153.39,4.41,206.84,-148.98,57.86
44,18.09,46.73,37.98,-17.89,40.08,21.36,60.55,-155.52,4.35,206.91,-151.16,55.75
45,23.14,43.93,31.64,-15.85,38.69,21.16,60.14,-154.49,4.41,202.86,-150.08,52.78
46,18.96,45.36,35.79,-15.01,39.04,20.3,61.4,-153.66,4.45,205.84,-149.21,56.62
47,21.83,47.32,37.73,-16.68,39.06,20.48,60.91,-153.6,4.41,210.65,-149.19,61.46
48,18.46,45.94,37.22,-16.95,38.37,20.99,60.53,-154.53,4.41,204.56,-150.12,54.44
49,28.95,48.2,31.5,-15.23,40.1,22.46,61.21,-154.58,4.47,217.19,-150.1,67.09
50,23.74,51.99,36.05,-14.23,39.56,21.04,60.61,-153.71,4.47,218.75,-149.25,69.51
51,19.98,55.48,32.0,-16.12,40.12,22.22,60.26,-153.23,4.43,213.93,-148.8,65.14
52,12.43,55.22,30.92,-14.66,40.93,23.67,62.01,-153.98,4.41,210.52,-149.57,60.95
53,18.09,56.4,38.65,-17.55,38.46,23.17,60.3,-153.6,4.35,217.54,-149.25,68.28
54,15.52,53.63,33.72,-18.09,40.64,19.01,61.26,-156.37,4.4,205.69,-151.96,53.72
55,13.44,45.43,37.18,-14.79,40.42,19.97,61.22,-153.89,4.43,202.87,-149.45,53.42
56,21.74,49.3,31.41,-16.28,39.63,20.16,60.24,-153.98,4.46,206.19,-149.52,56.67
57,25.24,45.98,29.27,-15.65,40.15,19.86,60.54,-154.93,4.38,205.39,-150.54,54.85
58,13.03,48.54,38.67,-16.77,40.19,20.65,60.26,-153.29,4.48,204.58,-148.82,55.76
59,21.32,60.37,33.6,-15.68,39.37,20.51,60.21,-154.99,4.45,219.7,-150.54,69.16
60,16.91,45.48,30.99,-15.78,40.15,21.74,61.56,-154.07,4.33,201.05,-149.75,51.3
61,16.39,42.99,36.97,-17.63,40.76,19.54,60.17,-155.73,4.41,199.19,-151.32,47.87
62,25.23,48.66,28.19,-16.21,41.17,18.39,59.84,-155.8,4.41,205.27,-151.4,53.87
63,16.82,49.78,28.31,-12.94,40.41,21.23,59.4,-155.03,4.41,203.01,-150.62,52.39
64,15.12,57.33,32.24,-17.79,39.82,21.81,60.16,-155.63,4.39,208.69,-151.23,57.46
65,25.06,51.8,35.96,-14.6,39.73,21.32,61.56,-154.85,4.35,220.83,-150.5,70.33
66,18.24,50.65,28.33,-13.91,41.26,21.66,60.23,-154.92,4.39,206.46,-150.53,55.93
67,22.57,50.21,32.85,-17.94,39.85,23.08,61.35,-153.73,4.39,211.97,-149.34,62.63
68,19.66,40.32,32.77,-15.49,40.18,20.6,60.98,-155.28,4.39,199.02,-150.89,48.13
69,19.81,41.6,34.92,-14.79,37.2,23.38,60.96,-152.3,4.44,203.09,-147.86,55.23
