system,rep,metric,metric_label,mean,sd,median,min,max,n_points,x_min_used,x_max_used
drugs3523,rep2,rmsf_backbone_residue,Protein backbone RMSF,0.6904872928176795,0.2511371929264237,0.6532,0.2687,1.3858,181,1.0,181.0
drugs3523,rep3,contacts_prot_lig,Protein-ligand contacts,33.550289942011595,4.3897973092065214,34.0,13.0,45.0,5001,50.0,100.0
drugs3523,rep3,gyrate_protein,Protein radius of gyration,3.5032403199360127,0.03809889232481203,3.50054,3.34807,3.62821,5001,50.0,100.0
drugs3523,rep3,hbond_prot_lig,Protein-ligand hydrogen bonds,0.943011397720456,0.896075694163203,1.0,0.0,4.0,5001,50.0,100.0
drugs3523,rep3,mindist_prot_lig,Protein-ligand minimum distance,0.21869990675864825,0.027085317885793592,0.2188267,0.1516341,0.2903466,5001,50.0,100.0
drugs3523,rep3,rmsd_backbone,Protein backbone RMSD,1.8091570717000003,0.10678665111631427,1.8085886,1.4601365,2.051872,5000,50.0000038,99.9900055
drugs3523,rep3,rmsd_ligand_heavy,Ligand heavy-atom RMSD,2.02614499332,0.3362521476616585,2.0585041,1.0181094,2.87936,5000,50.0000038,99.9900055
drugs3523,rep3,rmsf_backbone_residue,Protein backbone RMSF,0.640310497237569,0.28126424240536246,0.5459,0.2576,1.5368,181,1.0,181.0


